,username,screen_name,date,tweets,hashtags
0,Natalia Valencia,@natyymarc,2020-09-10 21:28:05,"RT @elespectador: La alcaldesa de Bogotá Claudia López dijo que existen evidencias, de que por lo menos en cuatro lugares, los agentes de l…",[]
1,Helen Ebrat,@EbratHelen,2020-09-10 21:28:05,RT @ClaudiaLopez: Hoy es un día que duele por donde se le mire. Mis condolencias a familiares y amigos de quienes murieron o están heridos.…,[]
2,AntonioDeLen14,@Len14De,2020-09-10 21:28:04,@CABLENOTICIAS @NoticiasCaracol @CanalRCN @NoticiasRCN @CMILANOTICIA @NoticiasUno @jcpastrana A ALCALDESA BOGOTA Y… https://t.co/r9yf4UajD5,[]
3,Vanelope™,@Vanelope00,2020-09-10 21:28:04,"RT @Nicole_Chicaa: Recordemos la portada Semana de 1993.
‘Luego de encontrar a Sandra Catalina (9 años) tirada, estrangulada y violada en l…",[]
4,edgar,@sierramayor16,2020-09-10 21:28:04,RT @criticolombia: Ya Claudia López autorizó 15 marchas para hoy que volverán mierda Bogotá y posiblemente dejara heridos o muertos! Rolos…,[]
5,Humanidad Vigente,@HumanidadVigent,2020-09-10 21:28:04,RT @DefenderLiberta: Las organizaciones de Derechos Humanos firmantes del protocolo de protesta en Bogotá solicitamos a la alcaldía @Bogota…,[]
6,Ricardo A Buitrago,@RicardoABuitrag,2020-09-10 21:28:03,"RT @MariaMatusv: La Policía asesinó a diez personas. 
9 de septiembre de 2020, masacre en Bogotá, Colombia.",[]
7,Rubiel,@Rubiel46002873,2020-09-10 21:28:03,"RT @BluRadioCo: #LoDijeronEnBLU El representante Gabriel Santos (@GabrielSantosCD) llamó ""pirómano"" a Gustavo Petro (@PetroGustavo) por su…","[{'text': 'LoDijeronEnBLU', 'indices': [16, 31]}]"
8,Jose Araujo,@JoseAraujoNig,2020-09-10 21:28:03,"RT @ChalecosAmarill: 🎥🛑En #Colombia ya no se puede hablar mal de la policía, ¿tendremos que dejar que las imágenes hablen por sí solas? ...…","[{'text': 'Colombia', 'indices': [26, 35]}]"
9,MARY MUZIKA,@marymuzika2,2020-09-10 21:28:03,"RT @SOMOSRIOCRECID: Dónde está la OEA y @mbachelet
Policías de  @IvanDuque asesinaron a 6 personas la madrugada de hoy #10Sep sembrando el…","[{'text': '10Sep', 'indices': [119, 125]}]"
10,John Murdoch 🔻,@JohnnySintonize,2020-09-10 21:28:03,"RT @ChalecosAmarill: 🎥🛑En #Colombia ya no se puede hablar mal de la policía, ¿tendremos que dejar que las imágenes hablen por sí solas? ...…","[{'text': 'Colombia', 'indices': [26, 35]}]"
11,katty army💜💜💜,@katy0321087,2020-09-10 21:28:03,RT @ClaudiaLopez: Hay 15 marchas organizadas para el día de hoy en Bogotá. Les pedimos a todos los ciudadanos que por tarde a las 7:00 pm e…,[]
12,ZXCV,@esceptico100,2020-09-10 21:28:03,"RT @EyiLopezN: Bogotá ayer vivió una masacre a manos de la policía, no de la ciudadanía indignada!
Esta imagen lo dice todo! #PoliciasAsesi…",[]
13,Shalva,@mishalvita,2020-09-10 21:28:02,"RT @petrogustavo: La cifra oficial de asesinados en Bogotá  se eleva a 8 con Javier Ordoñez.

El uribismo trata de culparnos de los hechos.…",[]
14,Anaid🇨🇴,@Di4n427,2020-09-10 21:28:01,RT @ClaudiaLopez: Hay 15 marchas organizadas para el día de hoy en Bogotá. Les pedimos a todos los ciudadanos que por tarde a las 7:00 pm e…,[]
15,ACI Prensa,@aciprensa,2020-09-10 21:28:01,La Arquidiócesis de Bogotá @arquidiocesisbo anunció la realización de una vigilia de oración tras las violentas pro… https://t.co/6NR1bHJV8G,[]
16,Orozcoco,@Orozcoco1,2020-09-10 21:28:01,RT @AFPespanol: #ÚLTIMAHORA Ascienden a 10 los muertos en las protestas contra la violencia policial en Bogotá y alrededores (autoridades)…,"[{'text': 'ÚLTIMAHORA', 'indices': [16, 27]}]"
17,Juanjo,@jjruizvalencia,2020-09-10 21:28:01,"RT @ELTIEMPO: Debido a los ataques e incendios en CAI de Bogotá, algunos ciudadanos, animalistas y fundaciones que ayudan a animales buscan…",[]
18,Juliana Corredor,@jcorrredor5,2020-09-10 21:28:01,"RT @ELTIEMPO: Debido a los ataques e incendios en CAI de Bogotá, algunos ciudadanos, animalistas y fundaciones que ayudan a animales buscan…",[]
19,Piedad Gómez M.,@piagomezm,2020-09-10 21:28:00,"RT @MariaMatusv: La Policía asesinó a diez personas. 
9 de septiembre de 2020, masacre en Bogotá, Colombia.",[]
20,Jesus Urbina,@Urbinajesus12,2020-09-10 21:28:00,RT @gianfranconapo: Las protestas que se dieron el pasado miércoles 9 de septiembre en horas de la noche en la ciudad de #Bogota produjeron…,"[{'text': 'Bogota', 'indices': [121, 128]}]"
21,Vladymir Gómez,@GoVladymir,2020-09-10 21:28:00,RT @cvoule: Estoy siguiendo con atención la situación en Colombia - se deben investigar los 6 muertos y 58 heridos anunciados por @Bogota.…,[]
22,Humanidad Vigente,@HumanidadVigent,2020-09-10 21:28:00,RT @DefenderLiberta: #MasacreEnBogotá Hoy organizaciones de DDHH hemos solicitado a la alcaldía @Bogota que dé cumplimiento al protocolo 56…,"[{'text': 'MasacreEnBogotá', 'indices': [21, 37]}]"
23,Reinaldo Bello,@kagu19,2020-09-10 21:27:59,"RT @petrogustavo: La alcaldesa, como jefe de policía de Bogotá, debe ordenar de inmediato que cese el fuego de la policía contra la poblaci…",[]
24,Willder Muria 🇻🇪,@WillderMuria,2020-09-10 21:27:59,RT @NoticiasCaracol: Culpan a policía de matar a un joven de 17 años durante los disturbios y dejar sin padre a un bebé de 7 meses https://…,[]
25,Liney Andrea Ríos.,@LaAuyamaAbogada,2020-09-10 21:27:59,"RT @elespectador: La alcaldesa de Bogotá Claudia López dijo que existen evidencias, de que por lo menos en cuatro lugares, los agentes de l…",[]
26,María Alejandra,@MarialexCortes,2020-09-10 21:27:59,"RT @JohaFuentes: Diez personas asesinadas en Bogotá. 

Alexander Fonseca 17 años 
Andrés Rodríguez 23 años
Julieth Ramírez 18 años
Freddy M…",[]
27,Diego Morales,@dmoralesurrea,2020-09-10 21:27:58,"RT @JohaFuentes: Diez personas asesinadas en Bogotá. 

Alexander Fonseca 17 años 
Andrés Rodríguez 23 años
Julieth Ramírez 18 años
Freddy M…",[]
28,@gladysbeatriz,@gladysbeatriz4,2020-09-10 21:27:58,"RT @elespectador: La alcaldesa de Bogotá Claudia López dijo que existen evidencias, de que por lo menos en cuatro lugares, los agentes de l…",[]
29,Isabel de Carpio,@isabeldecarpio,2020-09-10 21:27:58,RT @CNNEE: Bogotá: cinco muertos en violentos enfrentamientos entre manifestantes y la policía. https://t.co/sU1A4KIsM3,[]
30,GILBERTO  BOLIVAR,@gilbertob1,2020-09-10 21:27:58,RT @carlaangola: Tensión en Bogotá después de muerte del abogado Javier Ordoñez en caso sospechoso de brutalidad policial. La capital vivió…,[]
31,Katherine Caicedo,@kathec87,2020-09-10 21:27:58,RT @BluRadioCo: A esta hora estudiantes de la Universidad Pedagógica y Tecnológica de Colombia en Tunja hacen una movilización por las prin…,[]
32,Julio Chaparro,@ingandres00,2020-09-10 21:27:57,"RT @MariaFdaCabal: (II) 56 instalaciones policiales afectadas, 52 CAI vandalizados -49 en Bogotá, 3 en Soacha- y 22 CAI incinerados -todos…",[]
33,Victor Campos C,@VictorCamposC2,2020-09-10 21:27:57,"RT @meganoticiascl: Abuso policial: La razón de las fuertes manifestaciones en #Colombia que han dejado 7 fallecidos

https://t.co/181JsGmh…","[{'text': 'Colombia', 'indices': [79, 88]}]"
34,#1087985 Soy Preso Político,@OviedoFanny,2020-09-10 21:27:57,RT @jcpastrana: Bogotá se le salió de las manos a @ClaudiaLopez,[]
